tahun,bulan,tempat_wisata,jumlah
2020,9,Taman Arkeologi Onrust,2969
2020,9,Pelabuhan Sunda Kelapa,2155
2020,9,Kepulauan Seribu,15270
2020,9,PBB Setu babakan,4704
2020,9,Museum Prasasti,125
2020,9,Planetarium,0
2020,9,Rumah si Pitung,1018
2020,9,Kawasan Kota Tua,1837
2019,7,Taman Impian Jaya Ancol,1066473
2019,7,Taman Mini Indonesia Indah,465162
2019,7,Taman Margasatwa Ragunan,656146
2019,7,Monumen Nasional (kawasan),1616154
2019,7,Museum Nasional,1345
2019,7,Museum Satria Mandala,789
2019,7,Museum Sejarah Jakarta,79461
2019,7,Museum Tekstil,1632
2019,7,Museum Bahari,2333
2019,7,Museum Seni Rupa dan Keramik,20483
2019,7,Museum Wayang,38063
2019,7,Museum Joang 45 dan Thamrin,759
2019,7,Taman Arkeologi Onrust,655
2019,7,Pelabuhan Sunda Kelapa,2456
2019,7,Kepulauan Seribu,63279
2019,7,PBB Setu babakan,61046
2019,7,Museum Prasasti,823
2019,7,Planetarium,12104
2019,7,Rumah si Pitung,426
2019,7,Kawasan Kota Tua,971279
2020,7,Taman Impian Jaya Ancol,85142
2020,7,Taman Mini Indonesia Indah,82696
2020,7,Taman Margasatwa Ragunan,9365
2020,7,Monumen Nasional,0
2020,7,Museum Nasional,583
2020,7,Museum Satria Mandala,0
2020,7,Museum Sejarah Jakarta,2066
2020,7,Museum Tekstil,132
2020,7,Museum Bahari,632
2020,7,Museum Seni Rupa dan Keramik,327
2020,7,Museum Wayang,819
2020,7,Museum Joang 45,115
2020,7,Taman Arkeologi Onrust,3711
2020,7,Pelabuhan Sunda Kelapa,927
2020,7,Kepulauan Seribu,20360
2020,7,PBB Setu babakan,1548
2020,7,Museum Prasasti,194
2020,7,Planetarium,0
2020,7,Rumah si Pitung,1722
2020,7,Kawasan Kota Tua,3925
2018,9,Taman Impian Jaya Ancol,1600051
2018,9,Taman Mini Indonesia Indah,476301
2018,9,Taman Margasatwa Ragunan,250321
2018,9,Monumen Nasional,143508
2018,9,Museum Nasional,8841
2018,9,Museum Satria Mandala,857
2018,9,Museum Sejarah Jakarta,49502
2018,9,Museum Tekstil,3493
2018,9,Museum Bahari,9761
2018,9,Museum Seni Rupa dan Keramik,10714
